10,8	92,5	185,6
10,9	92,6	184,8
11,1	92,6	184,1
11,2	92,6	183,4
11,3	92,7	182,9
11,4	92,7	182,1
11,5	92,7	181,4
12	92,9	178,2
12,5	93	175,1
13	93,2	171
13,5	93,4	167,8
14	93,6	165
14,5	93,7	162
15	93,9	158,9
15,5	94,1	156,1
16	94,3	152,9
16,5	94,5	149,6
17	94,7	146,2
17,5	94,9	144,2
18	95	142
18,5	95,2	138,3
19	95,4	136,1
19,5	95,6	133,3
20	95,8	131
20,5	96	128,5
21
21,5	96,4	122,9
22	96,6	120,6
22,5	96,7	119,5
23	96,9	117,2
23,5	97,1	115,1
24	97,3	112,9
24,5	97,5	111,2
25	97,7	109
25,5	97,8	107,4
26	98,1	105
26,5	98,3	103,1
27	98,5	100,9
27,5	98,7	99,2
28	98,8	97,6
28,5	99	96,2
29	99,4	92,9
29,5	99,5	91,9
30	99,6	90,8
30,5	99,9	88,6
31	100	87,6
31,5	100,3	85,6
32	100,4	84,4
32,5	100,6	82,7
33	100,9	80,9
33,5	101	80,1
34	101,3	78,3
34,5	101,5	76,9
35
35,5	101,8	74,4
36	102	73,4
36,5	102,3	71,2
37	102,4	70,6
37,5
38	102,8	67,7
38,5	102,9	66,7
39	103,1	65,9
39,5	103,5	63,7
40	103,6	63,3
40,5	103,7	62,4
41	103,9	61,4
41,5	104,1	60,3
42	104,3	59,1
42,5	104,5	57,8
43,5	104,7	57
43,5
44	105	55,7
44,5	105,3	54,5
45	105,4	53,4
45,5	105,7	52,8
46	105,9	51,8
46,5	106,7	50,9
47	106,2	50,3
47,5	106,6	48,9
48	106,7	48,4
48,5	106,9	47,8
49	107,2	46,6
49,5	107,3	46,1
50	107,4	45,3
50,5	107,7	44,6
51	107,8	43,8
51,5	108	43,3
52	108,3	42,3
52,5	108,4	42,9
53	108,6	41,3
53,5	108,7	40,5
54	109	40
54,5	109,1	39,4
55	109,3	38,7
55,5	109,5	38
56	109,7	37,4
56,5	109,8	36,9
57	110	36,4
57,5	110,2	35,7
58	110,4	35
58,5
59	110,8	34,3
59,5	110,9	33,7
60	111,2	33,2
60,5
61	111,5	32,1
61,5	111,7	31,6
62	111,9	31,2
62,5	112,1	30,7
63	112,3	30,2
63,5	112,5	29,8
64	112,7	29,3
64,5	112,9	28,9
65	113,1	28,5
65,5	113,2	28,1
66	113,4	27,7
66,5	113,7	27,2
67	113,9	26,9
67,5	114,1	26,4
68	114,3	26
68,5	114,4	25,9
69	114,7	25,2
69,5	114,9	24,9
70	115,1	24,6
70,5	115,3	24,3
71	115,5	24
71,5	115,6	23,6
72	115,9	23,2
72,5	116	22,9
73	116,2	22,6
73,5	116,6	22,4
74	116,6	21,9
74,5	116,9	21,7
75	117,1	21,3
75,5	117,3	20,9
76	117,5	20,7
76,5	117,7	20,4
77	117,9	20
77,5
78	118,3	19,5
78,5	118,5	19,3
79	118,7	19
79,5	118,9	18,5
80	119,3	18,3
80,5
81	119,5	18,1
81,5
82	119,9	17,6
82,5	120	17,5
83	120,3	17,1
83,5	120,5	16,8
84	120,7	16,6
84,5	121	16,4
85	121,2	16,2
85,5	121,3	16
86	121,6	15,7
86,5	121,8	15,5
87	122	15,4
87,5	122,2	15,2
88	122,4	15
88,5	122,6	14,7
89	122,8	14,5
